,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
22,Charlotte Bobcats,82,242.7,36.3,82.1,0.442,6.3,17.9,35.1,30.0,64.1,46.8,18.0,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9,43.0,25.5,103.6,103.8,92.4,38.8,87.8,0.442,6.7,0.35100000000000003,32.1,68.6,0.46799999999999997,19.2,26.1,0.737,10.1,35.5,45.6,23.2,6.5,5.5,13.2,19.5,2014,52.4390243902439,0.4907813871817384,82.0,21.829268292682926
23,Indiana Pacers,82,241.2,36.0,80.2,0.449,6.7,18.8,35.7,29.3,61.4,47.7,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7,56.0,27.2,104.1,99.3,92.5,38.7,86.2,0.449,7.2,0.35700000000000004,31.5,66.0,0.47700000000000004,19.5,25.0,0.779,10.9,37.1,48.1,21.7,7.2,5.9,16.2,22.0,2014,68.29268292682927,0.4766187050359712,80.2,23.44139650872818
24,Orlando Magic,82,243.4,36.9,82.7,0.445,6.9,19.5,35.3,30.0,63.3,47.4,15.9,20.9,0.763,9.7,32.4,42.0,21.0,7.7,4.3,14.9,20.5,96.5,23.0,24.6,101.7,107.4,93.6,38.8,87.1,0.445,7.2,0.353,31.6,66.6,0.474,16.8,22.0,0.763,10.2,34.1,44.3,22.2,8.1,4.5,15.7,21.6,2014,28.04878048780488,0.49037580201649866,82.8,23.55072463768116
25,Boston Celtics,82,240.6,36.5,83.9,0.435,7.0,21.1,33.3,29.5,62.9,47.0,16.2,20.8,0.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2,25.0,25.4,102.9,107.7,93.3,39.1,89.7,0.435,7.5,0.33299999999999996,31.6,67.2,0.47,17.3,22.2,0.777,12.8,32.7,45.4,22.5,7.6,4.5,16.4,22.7,2014,30.48780487804878,0.4959785522788204,84.0,25.11904761904762
26,Memphis Grizzlies,82,241.5,38.1,82.0,0.46399999999999997,4.9,14.0,35.3,33.1,68.0,48.7,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,50.0,28.5,106.3,104.6,89.9,42.1,90.7,0.46399999999999997,5.5,0.353,36.6,75.2,0.48700000000000004,16.7,22.5,0.741,12.8,34.1,46.9,24.2,8.5,5.1,15.2,21.1,2014,60.97560975609756,0.480565371024735,82.0,17.073170731707318
27,Milwaukee Bucks,82,242.4,36.0,82.2,0.43799999999999994,6.7,18.9,35.3,29.3,63.2,46.4,16.8,22.5,0.747,11.8,29.3,41.1,21.5,6.6,4.9,15.1,20.9,95.5,15.0,24.7,103.0,111.8,91.8,38.8,88.6,0.43799999999999994,7.2,0.353,31.6,68.2,0.46399999999999997,18.1,24.2,0.747,12.8,31.6,44.3,23.2,7.1,5.3,16.3,22.5,2014,18.29268292682927,0.49556737588652483,82.1,23.020706455542022
28,Utah Jazz,82,241.2,36.0,81.1,0.444,6.6,19.2,34.4,29.4,61.9,47.4,16.4,22.0,0.747,11.0,30.2,41.2,20.3,7.0,4.5,14.6,20.7,95.0,25.0,24.5,103.5,111.3,91.4,39.2,88.3,0.444,7.2,0.344,32.0,67.4,0.474,17.9,23.9,0.747,12.0,32.9,44.9,22.1,7.6,4.9,15.9,22.6,2014,30.48780487804878,0.49108734402852044,81.1,23.674475955610358
29,Chicago Bulls,82,243.0,34.7,80.2,0.43200000000000005,6.2,17.8,34.8,28.5,62.4,45.6,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,48.0,28.6,102.5,100.5,90.2,38.0,87.8,0.43200000000000005,6.8,0.348,31.2,68.3,0.456,19.8,25.5,0.779,12.5,35.8,48.3,24.8,7.9,5.7,16.3,20.9,2014,58.536585365853654,0.48984995586937335,80.2,22.194513715710723
30,Golden State Warriors,82,240.6,41.6,87.0,0.478,10.8,27.0,39.8,30.8,60.0,51.4,16.0,20.8,0.768,10.4,34.3,44.7,27.4,9.3,6.0,14.5,19.9,110.0,67.0,26.6,111.6,101.4,98.3,42.2,88.3,0.478,10.9,0.39799999999999996,31.3,60.9,0.514,16.3,21.2,0.768,10.6,34.8,45.4,27.8,9.4,6.1,14.7,20.2,2015,81.70731707317073,0.4657534246575342,87.0,31.03448275862069
31,Los Angeles Clippers,82,240.6,39.4,83.3,0.473,10.1,26.9,37.6,29.3,56.4,51.9,17.9,25.2,0.71,9.6,33.1,42.6,24.8,7.8,5.0,12.3,21.3,106.7,56.0,28.8,112.4,105.5,94.7,41.5,87.7,0.473,10.6,0.376,30.8,59.4,0.519,18.9,26.5,0.71,10.1,34.8,44.9,26.1,8.2,5.3,13.0,22.5,2015,68.29268292682927,0.4711033274956217,83.3,32.292917166866744
