,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
109,Milwaukee Bucks,82,241.2,38.8,81.9,0.474,8.8,23.7,37.0,30.0,58.2,51.6,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6,42.0,25.6,109.1,109.3,94.5,40.9,86.2,0.474,9.2,0.37,31.6,61.2,0.516,18.1,23.6,0.768,9.3,33.2,42.5,25.5,8.6,5.6,14.7,21.3,2017,51.21951219512195,0.4626593806921676,81.9,28.937728937728934
110,Miami Heat,82,241.2,39.0,85.8,0.455,9.9,27.0,36.5,29.2,58.8,49.6,15.2,21.6,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,41.0,26.5,107.8,106.7,95.2,40.8,89.7,0.455,10.3,0.365,30.5,61.5,0.496,15.9,22.5,0.706,11.1,34.5,45.6,22.2,7.5,6.0,14.0,21.4,2017,50.0,0.49465240641711233,85.8,31.46853146853147
111,Atlanta Hawks,82,242.4,38.1,84.4,0.451,8.9,26.1,34.1,29.2,58.3,50.1,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,43.0,27.9,104.9,105.7,97.4,38.7,85.8,0.451,9.0,0.341,29.7,59.3,0.501,18.4,25.3,0.728,10.4,34.6,45.1,24.0,8.3,4.9,16.0,18.5,2017,52.4390243902439,0.486048604860486,84.4,30.924170616113745
112,Chicago Bulls,82,241.2,38.6,87.1,0.444,7.6,22.3,34.0,31.0,64.8,47.9,18.0,22.5,0.7979999999999999,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,41.0,26.9,107.4,107.0,95.3,40.4,90.9,0.444,7.9,0.34,32.4,67.6,0.479,18.8,23.5,0.7979999999999999,12.7,35.6,48.3,23.6,8.2,5.0,14.2,18.5,2017,50.0,0.4825174825174825,87.1,25.602755453501725
113,Sacramento Kings,82,242.4,37.9,82.1,0.461,9.0,23.9,37.6,28.9,58.2,49.6,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8,32.0,27.9,107.3,111.3,94.9,39.5,85.7,0.461,9.4,0.376,30.1,60.8,0.496,18.9,24.3,0.775,9.1,33.7,42.8,23.5,8.0,4.1,15.3,21.2,2017,39.02439024390244,0.4690909090909091,82.1,29.11084043848965
114,Philadelphia 76ers,82,241.8,37.7,85.3,0.442,10.1,29.8,34.0,27.5,55.5,49.6,17.0,22.0,0.7709999999999999,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,28.0,24.6,103.2,108.9,98.5,37.9,85.9,0.442,10.2,0.34,27.7,55.9,0.496,17.1,22.2,0.7709999999999999,9.9,33.2,43.2,23.9,8.5,5.2,16.8,22.0,2017,34.146341463414636,0.49121184088806663,85.3,34.93552168815944
115,Detroit Pistons,82,241.5,39.9,88.8,0.449,7.7,23.4,33.0,32.2,65.5,49.2,13.9,19.3,0.7190000000000001,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3,37.0,25.4,106.0,107.1,95.0,41.7,92.9,0.449,8.0,0.33,33.6,68.5,0.49200000000000005,14.5,20.2,0.7190000000000001,11.6,36.2,47.8,22.1,7.3,4.0,12.4,18.7,2017,45.1219512195122,0.5030946065428824,88.9,26.321709786276713
116,Orlando Magic,82,241.5,38.3,87.0,0.44,8.5,26.1,32.8,29.7,60.9,48.8,16.0,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,29.0,25.3,103.7,110.5,96.8,39.3,89.3,0.44,8.8,0.32799999999999996,30.5,62.5,0.488,16.4,21.9,0.747,10.1,34.2,44.3,22.8,7.3,5.0,13.7,19.8,2017,35.36585365853659,0.49910071942446044,87.0,30.0
117,Utah Jazz,82,240.9,37.0,79.5,0.466,9.6,26.0,37.2,27.3,53.5,51.1,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,51.0,26.8,109.6,105.3,91.6,40.2,86.5,0.466,10.5,0.37200000000000005,29.8,58.2,0.511,18.6,24.9,0.747,10.2,36.8,47.0,21.9,7.3,5.4,14.8,20.5,2017,62.19512195121951,0.4721723518850987,79.5,32.70440251572327
118,Memphis Grizzlies,82,242.7,36.4,83.6,0.435,9.4,26.5,35.4,27.0,57.1,47.3,18.3,23.4,0.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5,43.0,29.5,107.7,107.1,92.3,39.0,89.6,0.435,10.0,0.354,29.0,61.2,0.473,19.7,25.1,0.784,11.6,34.3,45.8,22.8,8.5,4.5,13.8,24.0,2017,52.4390243902439,0.48823016564952043,83.6,31.698564593301437
119,Dallas Mavericks,82,241.2,36.2,82.3,0.44,10.7,30.2,35.5,25.5,52.2,48.9,14.8,18.5,0.8009999999999999,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,33.0,27.6,105.6,108.8,92.2,39.0,88.8,0.44,11.6,0.355,27.5,56.3,0.489,16.0,19.9,0.8009999999999999,8.5,33.1,41.6,22.4,8.1,4.0,12.8,20.6,2017,40.243902439024396,0.4940202391904323,82.4,36.6504854368932
120,Golden State Warriors,82,240.6,42.8,85.1,0.503,11.3,28.9,39.1,31.5,56.2,56.00000000000001,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,58.0,28.8,113.6,107.6,99.6,42.9,85.3,0.503,11.3,0.391,31.5,56.3,0.56,16.6,20.4,0.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,2018,70.73170731707317,0.43708609271523174,85.1,33.96004700352527
121,Houston Rockets,82,240.9,38.7,84.2,0.46,15.3,42.3,36.2,23.4,41.9,55.8,19.6,25.1,0.7809999999999999,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,65.0,29.8,114.7,106.1,97.6,39.5,86.0,0.46,15.6,0.36200000000000004,23.9,42.8,0.5579999999999999,20.0,25.7,0.7809999999999999,9.2,35.2,44.4,22.0,8.7,4.9,14.1,19.9,2018,79.26829268292683,0.4673231871083259,84.19999999999999,50.2375296912114
122,New Orleans Pelicans,82,243.4,42.7,88.3,0.483,10.2,28.2,36.2,32.5,60.1,54.0,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,48.0,27.6,109.6,108.3,100.5,41.9,86.6,0.483,10.0,0.36200000000000004,31.9,59.0,0.54,15.8,20.5,0.772,8.5,35.0,43.5,26.3,7.9,5.8,14.6,18.8,2018,58.536585365853654,0.46125116713352005,88.3,31.936579841449603
123,Toronto Raptors,82,241.8,41.3,87.4,0.47200000000000003,11.8,33.0,35.8,29.5,54.4,54.1,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,59.0,25.8,113.8,105.9,97.4,42.0,89.1,0.47200000000000003,12.0,0.358,30.0,55.5,0.541,17.7,22.2,0.794,9.9,34.9,44.8,24.8,7.8,6.2,13.6,22.2,2018,71.95121951219512,0.4636118598382749,87.4,37.75743707093821
124,Cleveland Cavaliers,82,240.6,40.4,84.8,0.47600000000000003,12.0,32.1,37.2,28.4,52.6,54.0,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,50.0,30.6,112.9,111.9,98.0,41.1,86.3,0.47600000000000003,12.2,0.37200000000000005,28.9,53.6,0.54,18.5,23.7,0.779,8.6,34.3,42.9,23.8,7.2,3.9,14.0,18.9,2018,60.97560975609756,0.4581818181818182,84.7,37.89846517119245
125,Denver Nuggets,82,242.4,40.7,86.6,0.47,11.5,30.9,37.1,29.2,55.7,52.5,17.1,22.3,0.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,46.0,25.1,112.5,111.0,96.8,41.6,88.5,0.47,11.7,0.371,29.9,56.9,0.525,17.5,22.8,0.767,11.2,34.3,45.5,25.7,7.8,5.0,15.3,19.1,2018,56.09756097560976,0.4690026954177897,86.6,35.68129330254042
126,Philadelphia 76ers,82,241.2,40.8,86.6,0.47200000000000003,11.0,29.8,36.9,29.9,56.7,52.6,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,52.0,25.8,109.5,105.0,99.8,40.7,86.3,0.47200000000000003,11.0,0.369,29.8,56.6,0.526,17.1,22.7,0.752,10.9,36.4,47.3,27.0,8.3,5.1,16.4,22.0,2018,63.41463414634146,0.4697247706422018,86.5,34.45086705202312
127,Minnesota Timberwolves,82,241.5,41.0,86.1,0.47600000000000003,8.0,22.5,35.7,33.0,63.6,51.9,19.4,24.1,0.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,47.0,27.1,113.4,111.1,96.0,42.5,89.2,0.47600000000000003,8.3,0.35700000000000004,34.2,65.9,0.519,20.1,25.0,0.804,10.7,32.7,43.4,23.5,8.7,4.4,12.9,18.9,2018,57.3170731707317,0.45183887915936954,86.1,26.132404181184672
128,Los Angeles Clippers,82,240.3,40.3,85.4,0.47100000000000003,9.5,26.8,35.4,30.8,58.6,52.5,19.0,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,42.0,27.0,110.3,110.2,98.7,40.7,86.4,0.47100000000000003,9.6,0.354,31.2,59.3,0.525,19.2,25.8,0.743,10.3,34.1,44.4,22.6,7.7,4.6,14.9,20.2,2018,51.21951219512195,0.46613190730837784,85.4,31.38173302107728
129,Charlotte Hornets,82,241.2,39.0,86.7,0.45,10.0,27.2,36.9,28.9,59.4,48.7,20.2,27.0,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,36.0,26.6,109.4,109.1,98.4,39.4,87.6,0.45,10.2,0.369,29.3,60.1,0.48700000000000004,20.4,27.3,0.747,10.2,35.8,46.0,21.8,6.9,4.6,12.8,17.4,2018,43.90243902439025,0.4795474325500435,86.6,31.40877598152425
130,Los Angeles Lakers,82,242.7,40.7,88.4,0.461,10.0,29.1,34.5,30.7,59.3,51.7,16.6,23.3,0.7140000000000001,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,35.0,23.7,106.5,108.0,100.3,40.1,87.1,0.461,9.9,0.345,30.2,58.4,0.517,16.4,23.0,0.7140000000000001,10.5,35.2,45.7,23.4,7.6,4.7,15.6,20.9,2018,42.68292682926829,0.48683015440508626,88.4,32.918552036199095
131,Oklahoma City Thunder,82,241.8,39.9,88.1,0.45299999999999996,10.7,30.4,35.4,29.1,57.7,50.5,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,48.0,27.3,110.7,107.2,96.7,40.9,90.4,0.45299999999999996,11.0,0.354,29.9,59.2,0.505,17.8,24.8,0.716,12.8,33.4,46.2,21.9,9.3,5.2,14.4,20.7,2018,58.536585365853654,0.4904513888888889,88.1,34.50624290578887
132,Washington Wizards,82,242.1,39.9,85.6,0.467,9.9,26.5,37.5,30.0,59.1,50.8,16.8,21.8,0.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,43.0,26.9,109.3,108.7,96.6,41.0,87.8,0.467,10.2,0.375,30.8,60.6,0.508,17.2,22.3,0.772,10.3,33.9,44.2,25.8,8.1,4.4,15.0,21.8,2018,52.4390243902439,0.4713896457765667,85.6,30.95794392523365
133,Brooklyn Nets,82,242.1,38.2,86.8,0.441,12.7,35.7,35.6,25.5,51.1,50.0,17.4,22.6,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,28.0,25.1,106.9,110.6,98.9,38.3,87.0,0.441,12.7,0.35600000000000004,25.6,51.2,0.5,17.5,22.6,0.772,9.7,34.9,44.6,23.7,6.3,4.8,15.2,20.6,2018,34.146341463414636,0.4908759124087591,86.80000000000001,41.12903225806451
134,Milwaukee Bucks,82,241.8,39.7,83.0,0.478,8.8,24.7,35.5,31.0,58.3,53.1,18.3,23.4,0.7829999999999999,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,44.0,25.9,109.8,110.1,96.2,41.0,85.6,0.478,9.0,0.355,31.9,60.1,0.531,18.8,24.1,0.7829999999999999,8.7,32.4,41.1,24.0,9.1,5.6,14.3,22.0,2018,53.65853658536586,0.45487693710118504,83.0,29.75903614457831
135,Portland Trail Blazers,82,240.9,39.3,87.0,0.452,10.3,28.1,36.6,29.0,58.8,49.3,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,49.0,25.6,109.1,106.4,96.5,40.6,89.8,0.452,10.6,0.366,29.9,60.7,0.493,17.3,21.6,0.8,10.5,36.4,46.9,20.1,7.2,5.3,14.0,20.1,2018,59.756097560975604,0.4802513464991023,86.9,32.33601841196778
136,Indiana Pacers,82,240.9,40.8,86.4,0.47200000000000003,9.0,24.5,36.9,31.8,61.9,51.300000000000004,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,48.0,26.2,109.5,108.1,96.0,42.3,89.6,0.47200000000000003,9.4,0.369,32.9,64.2,0.513,15.5,19.9,0.779,10.0,34.0,43.9,23.0,9.1,4.3,13.8,19.5,2018,58.536585365853654,0.4721461187214612,86.4,28.356481481481477
137,New York Knicks,82,241.8,40.7,87.7,0.46399999999999997,8.2,23.3,35.2,32.5,64.4,50.4,14.9,19.0,0.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5,29.0,26.3,107.1,110.7,96.8,41.7,89.9,0.46399999999999997,8.4,0.35200000000000004,33.3,66.0,0.504,15.3,19.5,0.787,10.7,34.4,45.1,23.9,6.9,5.3,15.1,21.0,2018,35.36585365853659,0.47897623400365635,87.7,26.567844925883694
138,Utah Jazz,82,240.9,38.3,82.9,0.462,10.8,29.6,36.6,27.5,53.3,51.5,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,48.0,26.7,108.4,103.9,95.7,39.8,86.3,0.462,11.3,0.366,28.6,55.5,0.515,17.5,22.4,0.779,9.4,35.6,45.0,23.3,9.0,5.3,15.3,20.4,2018,58.536585365853654,0.4728610855565777,82.9,35.70566948130278
139,Boston Celtics,82,241.5,38.3,85.1,0.45,11.5,30.4,37.7,26.9,54.7,49.1,16.0,20.7,0.7709999999999999,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,55.0,24.7,107.6,103.9,96.0,39.6,88.0,0.45,11.8,0.377,27.8,56.6,0.491,16.5,21.4,0.7709999999999999,9.7,36.3,46.0,23.2,7.6,4.7,14.5,20.4,2018,67.07317073170732,0.48720292504570384,85.1,35.72267920094007
140,Phoenix Suns,82,240.3,38.5,87.1,0.442,9.3,27.9,33.4,29.1,59.2,49.2,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,21.0,23.7,103.5,112.8,100.3,38.3,86.7,0.442,9.3,0.33399999999999996,29.0,59.0,0.49200000000000005,17.6,23.8,0.741,10.2,33.7,43.9,21.2,6.9,4.5,15.7,21.9,2018,25.609756097560975,0.49411764705882355,87.1,32.03214695752009
141,Detroit Pistons,82,241.5,39.1,86.9,0.45,10.8,28.9,37.3,28.3,58.0,48.8,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,39.0,25.9,107.2,107.3,96.2,40.4,89.8,0.45,11.2,0.373,29.2,59.9,0.488,15.2,20.4,0.745,10.5,34.7,45.2,23.5,7.9,4.0,13.9,19.0,2018,47.5609756097561,0.4954627949183303,86.9,33.2566168009206
142,Miami Heat,82,243.0,38.8,85.3,0.455,11.0,30.6,36.0,27.8,54.8,50.8,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,44.0,26.5,106.8,106.3,95.6,40.1,88.1,0.455,11.4,0.36,28.7,56.6,0.508,15.2,20.2,0.755,9.6,35.3,44.9,23.5,7.8,5.5,14.9,20.8,2018,53.65853658536586,0.48938134810710987,85.4,35.831381733021075
143,Orlando Magic,82,240.6,38.8,85.9,0.452,10.3,29.3,35.1,28.5,56.5,50.4,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,25.0,25.6,105.2,110.1,98.1,39.5,87.4,0.452,10.5,0.35100000000000003,29.0,57.5,0.504,15.8,20.8,0.757,9.0,33.4,42.4,23.8,7.7,5.0,14.8,19.6,2018,30.48780487804878,0.488909426987061,85.8,34.14918414918415
144,Atlanta Hawks,82,240.3,38.2,85.5,0.446,11.2,31.0,36.0,27.0,54.5,49.5,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,24.0,25.4,105.0,110.6,98.3,38.8,86.9,0.446,11.4,0.36,27.4,55.4,0.495,16.1,20.5,0.785,9.2,33.4,42.6,24.1,7.9,4.3,15.8,19.9,2018,29.268292682926827,0.48882681564245817,85.5,36.25730994152047
145,Chicago Bulls,82,242.1,38.7,88.8,0.435,11.0,31.1,35.5,27.6,57.8,47.8,14.6,19.2,0.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9,27.0,24.4,103.8,110.9,98.3,39.0,89.6,0.435,11.1,0.355,27.8,58.2,0.478,14.7,19.4,0.759,9.7,35.3,45.0,23.6,7.7,3.6,14.1,19.3,2018,32.926829268292686,0.5073394495412844,88.9,34.983127109111365
146,San Antonio Spurs,82,240.6,39.0,85.4,0.457,8.5,24.1,35.2,30.6,61.2,49.9,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,47.0,29.3,107.9,104.8,95.0,41.0,89.6,0.457,8.9,0.35200000000000004,32.1,64.3,0.499,17.0,22.0,0.772,10.9,35.6,46.4,23.9,8.0,5.9,13.8,18.0,2018,57.3170731707317,0.48028673835125446,85.30000000000001,28.253223915592024
147,Dallas Mavericks,82,241.5,38.1,85.9,0.444,11.8,32.8,36.0,26.4,53.1,49.6,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3,24.0,27.7,106.3,109.5,95.6,39.6,89.2,0.444,12.3,0.36,27.4,55.2,0.496,14.8,19.4,0.763,8.4,34.4,42.9,23.5,7.3,3.9,12.8,20.0,2018,29.268292682926827,0.49907918968692444,85.9,38.183934807916174
148,Memphis Grizzlies,82,240.3,36.7,82.8,0.444,9.2,26.2,35.2,27.5,56.5,48.6,16.6,21.1,0.7859999999999999,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3,22.0,26.0,104.5,111.0,94.9,38.7,87.1,0.444,9.7,0.35200000000000004,28.9,59.5,0.486,17.5,22.2,0.7859999999999999,10.0,32.6,42.6,22.7,7.9,5.1,15.7,24.4,2018,26.82926829268293,0.48581884720951507,82.7,31.68077388149939
149,Sacramento Kings,82,240.9,38.8,86.1,0.45,9.0,24.0,37.5,29.8,62.1,47.9,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,27.0,26.4,103.7,111.1,94.9,40.7,90.4,0.45,9.4,0.375,31.2,65.2,0.479,12.9,17.5,0.735,9.9,33.0,42.9,22.6,8.2,4.4,14.4,21.0,2018,32.926829268292686,0.5032437442075997,86.1,27.87456445993032
