,Team,Year,PctWin,ph_3Ppct,ph_2Ppct,ph_FTpct,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,ph_shotmisspct,PC1,PC2,PC3,PC4,PC5,PC6
78,Detroit Pistons,2016,53.65853658536586,0.345,0.48,0.6679999999999999,20.2,7.3,3.9,14.1,19.8,0.5085763293310464,-3.15905944219519,1.2207809821736846,-1.9826984945966943,1.4648694377920826,-0.4521603377279582,1.646052182573197
79,Denver Nuggets,2016,40.243902439024396,0.33799999999999997,0.48200000000000004,0.7659999999999999,23.5,7.7,5.0,15.2,21.8,0.48722466960352423,-1.0542604625399774,0.046112243550423745,0.478259959849653,-0.14654731499419701,0.057152868087398,-0.44241395905460834
80,Chicago Bulls,2016,51.21951219512195,0.371,0.46399999999999997,0.787,23.6,6.2,5.9,14.4,19.5,0.49107142857142855,0.02764481212428921,2.171692325373478,1.9883297705133092,1.2467509470598928,-0.9304891484909268,-0.505510444003559
81,Phoenix Suns,2016,28.04878048780488,0.348,0.47200000000000003,0.7509999999999999,21.0,7.8,3.9,17.4,23.0,0.4977334542157751,-2.7787064970595328,-0.9968940107497118,0.2944418538839523,-1.1670161444852847,-1.367919336961434,0.234750002583494
82,Miami Heat,2016,58.536585365853654,0.336,0.508,0.7440000000000001,22.1,7.2,6.9,14.9,19.4,0.4693693693693693,0.2488646508134037,0.22190745909802714,1.3207466449627332,1.8771297951606774,1.8689108723460264,1.0436164405221233
83,Memphis Grizzlies,2016,51.21951219512195,0.331,0.47100000000000003,0.7829999999999999,22.0,9.4,4.5,14.1,23.1,0.48135299219427574,-1.4478332161370553,-0.4314711930793697,-0.24178471444249963,-1.7436589761065335,1.3048530547579664,-1.3047335508437008
84,Milwaukee Bucks,2016,40.243902439024396,0.345,0.495,0.747,24.3,8.6,6.1,16.0,21.8,0.4723981900452489,0.0681765396285017,-1.7032851600851442,0.7108478020278045,0.7122353694625124,0.5980860275881217,-0.30627920296641975
85,Brooklyn Nets,2016,25.609756097560975,0.35200000000000004,0.48100000000000004,0.757,23.3,8.0,4.2,15.5,18.8,0.4872727272727273,-0.6013059601178851,0.7227677472537126,-0.9201419593284125,0.24426886186141872,-0.5324602864061907,-0.555240614956376
86,New York Knicks,2016,39.02439024390244,0.34600000000000003,0.47100000000000003,0.805,21.8,6.1,6.0,14.3,21.0,0.48660714285714285,-0.7335656346548914,2.035914240375549,2.6213286321141043,0.17130747587278514,0.3849159473162505,-0.09451564030561321
87,Utah Jazz,2016,48.78048780487805,0.355,0.488,0.7440000000000001,20.6,8.3,5.6,16.2,21.9,0.4857142857142857,-1.3021521002958407,-1.1394151242703305,0.8199110222154886,0.22004775393440767,0.29338968968326756,0.5695093033626558
88,Philadelphia 76ers,2016,12.195121951219512,0.33899999999999997,0.47600000000000003,0.6940000000000001,21.8,8.4,6.1,16.6,22.0,0.5134135060129509,-2.9849150858166755,-1.806751238422799,0.3528787149368732,2.1416221235560298,0.0706083177437215,0.10549077524052197
89,Los Angeles Lakers,2016,20.73170731707317,0.317,0.45399999999999996,0.7809999999999999,18.8,7.5,4.3,14.3,21.2,0.5030621172353456,-3.5193056424532947,1.7987966799444806,0.4179689459659178,-1.0546347296537575,1.1818217886911897,-0.4708178880007224
90,Golden State Warriors,2017,81.70731707317073,0.38299999999999995,0.557,0.7879999999999999,30.3,9.5,6.7,14.7,19.3,0.44464775846294596,5.678931769578692,-1.7970351483536924,-0.30891628328659326,1.2740710428443949,0.5214894171974843,-1.0155161803624606
91,Houston Rockets,2017,67.07317073170732,0.35700000000000004,0.552,0.7659999999999999,25.1,8.1,4.3,15.0,19.8,0.4673144876325088,2.0345525489588465,-0.14921635861934981,-1.4810593508616556,-0.4001110098729008,0.05882238799017134,0.9134696229016777
